id,address,version,token0,token1,fee,block_number,timestamp
5275,0x479293e1243174971a9db0cef3e1ae0992da0700,2,0x4200000000000000000000000000000000000006,0xa36cbf1058c793d0048d30ac7bcbed0e853b3d0f,300,11902589,1710594525
5276,0xed61e0b58f2f86345dfde66785953cb3a8fd8fdc,2,0x4200000000000000000000000000000000000006,0x677d8708798488d8282fb6121dde036beb5455ab,300,11902629,1710594605
5277,0x01bc1da96e6d6c299d0802e6edb72f322866dc53,2,0x4200000000000000000000000000000000000006,0xe6c5f3651a4404860b800d07039876c3c3e4a06d,300,11902649,1710594645
5278,0xb7a7d81a947d8957a816d7c016fdd436eb0cb672,2,0x4200000000000000000000000000000000000006,0xf20a1d30c633be5e3f35c3e1463d0d3c1ccec0a3,300,11902649,1710594645
5279,0x8c4ae25b12ca3d0f6826c1c093d2c9c1e75fd76c,2,0x4200000000000000000000000000000000000006,0x6f10088d8b3ba309f170c444adb196c4fc315d68,300,11902663,1710594673
5280,0xa500896770152fa2eeddf2f2fa6c2f48e6e14de4,2,0x2ed25ea1128b29f283d8f38eb35bbbf5f07c301c,0x4200000000000000000000000000000000000006,300,11902718,1710594783
5281,0x231f72af9cf3d065d2d56c3bb5709a508941c64f,2,0x4200000000000000000000000000000000000006,0xe18f8186e3d7717868363bcadecf31e81d7f6bc2,300,11902757,1710594861
5282,0x0aa2531c7c5b52a7b601da7a52de0c3b5f132217,2,0x1ea7939798c10b1e49f5fe74561d3888be536a4f,0x4200000000000000000000000000000000000006,300,11902760,1710594867
5283,0x6eb776367a1746301c4a122f0590dd322c0f8a5e,2,0x4200000000000000000000000000000000000006,0xb3ee6fb981d230bb8c16de4f35d5b665e37a9abe,300,11902767,1710594881
5284,0xb61b5a46fb8c7b5ea3f383eb36e3ffca7efe15fd,2,0x4200000000000000000000000000000000000006,0x780ff3c112780c5a6fc23d8bcef071de67e0e9d9,300,11902802,1710594951
5285,0x578e57292c123da895a8bd791f627887f95177f2,2,0x4200000000000000000000000000000000000006,0x622290a8e5708648f3ebd5688ae48cc29c7b66cb,300,11902975,1710595297
5286,0x20d9566312091ae86844cda57593b2207e613334,2,0x4200000000000000000000000000000000000006,0xcf256e7dc85dc09152570fe0591678f048a0059e,300,11902990,1710595327
5287,0x90c9aa15ad039c3ce2043796222125afc08f4319,2,0x4200000000000000000000000000000000000006,0x66a12226a8d00f8c4d9611f9678185aa50bf3f68,300,11903099,1710595545
5288,0xc3671b5c86ffa646e9b6bc966b718f3372d58a80,2,0x4200000000000000000000000000000000000006,0xed7322c13a2acaf6c9007ce399ab5b927f700645,300,11903118,1710595583
5289,0x10b92badbc07615d9476e425ab5ad4bce454d925,2,0x4200000000000000000000000000000000000006,0x88160f6ded9c7beabb0bf7f48b74ca9e6446cc72,300,11903168,1710595683
5290,0xbf3593def80e4de1836f433774099ae2bb669e61,2,0x4200000000000000000000000000000000000006,0xad61fba83c1a84f0c472b8c4b7b363df1ad06dc0,300,11903185,1710595717
5291,0x6d80674b789b867ce8e94ef4b93b197e2edcf973,2,0x4200000000000000000000000000000000000006,0xb59cd1cad6491d9d53b2ffb23bddbb91552c5464,300,11903191,1710595729
5292,0x30b62a6c244c17b79ed2af7967cf5e6def91b4b5,2,0x4200000000000000000000000000000000000006,0x982f5615543495e951b264d098085f578aefd241,300,11903193,1710595733
5293,0x958e41ed544ecd905174a344d6bc48f418f715b7,2,0x4200000000000000000000000000000000000006,0x51aa76e9e754b45446213dbf7709945b1c176d58,300,11903234,1710595815
5294,0xa25989147bc23d7453d536b4dfc476f98a13236d,2,0x4200000000000000000000000000000000000006,0x982f5615543495e951b264d098085f578aefd241,300,11903264,1710595875
5295,0x3a5163aca7700d9e29d948725b07b8a49222789e,2,0x4200000000000000000000000000000000000006,0x8ac19e6310eb8b250d57b49333172d6b3a79a1d2,300,11903312,1710595971
5296,0x708cd286c0fc677e7213c3eb07e985aae2557613,2,0x1eed9a4daf77b2f3e30f8faafc69d428cd0a4c5f,0x4200000000000000000000000000000000000006,300,11903325,1710595997
